teamcolor_id,name,description,category,type,max_stage,max_required_players,max_effect_summary,icon_url,source_url,collected_at,schema_version
1000,맨체스터 시티,맨체스터 시티 선수들로 구성된 팀컬러입니다.,소속 팀컬러,클럽,4,11,전체 능력치 +4 | 시야 +3 | 짧은 패스 +3,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l10.png,https://fconline.nexon.com/datacenter/teamcolor#teamcolorid=1000,2026-07-31T18:15:14+09:00,1.0.0
1001,리버풀,리버풀 선수들로 구성된 팀컬러입니다.,소속 팀컬러,클럽,4,11,전체 능력치 +4 | 속력 +3 | 반응 속도 +3,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l9.png,https://fconline.nexon.com/datacenter/teamcolor#teamcolorid=1001,2026-07-31T18:15:14+09:00,1.0.0
1002,토트넘 홋스퍼,토트넘 홋스퍼 선수들로 구성된 팀컬러입니다.,소속 팀컬러,클럽,4,11,전체 능력치 +4 | 반응 속도 +3 | 위치 선정 +3,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l18.png,https://fconline.nexon.com/datacenter/teamcolor#teamcolorid=1002,2026-07-31T18:15:14+09:00,1.0.0
1003,첼시,첼시 선수들로 구성된 팀컬러입니다.,소속 팀컬러,클럽,4,11,전체 능력치 +4 | 볼 컨트롤 +3 | 크로스 +3,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l5.png,https://fconline.nexon.com/datacenter/teamcolor#teamcolorid=1003,2026-07-31T18:15:14+09:00,1.0.0
1004,아스널,아스널 선수들로 구성된 팀컬러입니다.,소속 팀컬러,클럽,4,11,전체 능력치 +4 | 짧은 패스 +3 | 민첩성 +3,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1.png,https://fconline.nexon.com/datacenter/teamcolor#teamcolorid=1004,2026-07-31T18:15:14+09:00,1.0.0
1005,맨체스터 유나이티드,맨체스터 유나이티드 선수들로 구성된 팀컬러입니다.,소속 팀컬러,클럽,4,11,전체 능력치 +4 | 가속력 +3 | 중거리 슛 +3,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l11.png,https://fconline.nexon.com/datacenter/teamcolor#teamcolorid=1005,2026-07-31T18:15:14+09:00,1.0.0
1006,울버햄프턴 원더러스,울버햄프턴 원더러스 선수들로 구성된 팀컬러입니다.,소속 팀컬러,클럽,4,11,전체 능력치 +4 | 가속력 +3 | 가로채기 +3,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l110.png,https://fconline.nexon.com/datacenter/teamcolor#teamcolorid=1006,2026-07-31T18:15:14+09:00,1.0.0
1007,레스터 시티,레스터 시티 선수들로 구성된 팀컬러입니다.,소속 팀컬러,클럽,4,11,전체 능력치 +4 | 짧은 패스 +3 | 가로채기 +3,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l95.png,https://fconline.nexon.com/datacenter/teamcolor#teamcolorid=1007,2026-07-31T18:15:14+09:00,1.0.0
1008,에버턴,에버턴 선수들로 구성된 팀컬러입니다.,소속 팀컬러,클럽,4,11,전체 능력치 +4 | 크로스 +3 | 밸런스 +3,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l7.png,https://fconline.nexon.com/datacenter/teamcolor#teamcolorid=1008,2026-07-31T18:15:14+09:00,1.0.0
1009,왓퍼드,왓퍼드 선수들로 구성된 팀컬러입니다.,소속 팀컬러,클럽,4,11,전체 능력치 +4 | 반응 속도 +3 | 속력 +3,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1795.png,https://fconline.nexon.com/datacenter/teamcolor#teamcolorid=1009,2026-07-31T18:15:14+09:00,1.0.0
1010,바이에른 뮌헨,바이에른 뮌헨 선수들로 구성된 팀컬러입니다.,소속 팀컬러,클럽,4,11,전체 능력치 +4 | 짧은 패스 +3 | 슛 파워 +3,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l21.png,https://fconline.nexon.com/datacenter/teamcolor#teamcolorid=1010,2026-07-31T18:15:14+09:00,1.0.0
1011,보루시아 도르트문트,보루시아 도르트문트 선수들로 구성된 팀컬러입니다.,소속 팀컬러,클럽,4,11,전체 능력치 +4 | 드리블 +3 | 볼 컨트롤 +3,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l22.png,https://fconline.nexon.com/datacenter/teamcolor#teamcolorid=1011,2026-07-31T18:15:14+09:00,1.0.0
1012,RB 라이프치히,RB 라이프치히 선수들로 구성된 팀컬러입니다.,소속 팀컬러,클럽,4,11,전체 능력치 +4 | 민첩성 +3 | 시야 +3,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112172.png,https://fconline.nexon.com/datacenter/teamcolor#teamcolorid=1012,2026-07-31T18:15:14+09:00,1.0.0
1013,아인트라흐트 프랑크푸르트,아인트라흐트 프랑크푸르트 선수들로 구성된 팀컬러입니다.,소속 팀컬러,클럽,4,11,전체 능력치 +4 | 드리블 +3 | 시야 +3,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1824.png,https://fconline.nexon.com/datacenter/teamcolor#teamcolorid=1013,2026-07-31T18:15:14+09:00,1.0.0
