teamcolor_id,spid
1000,100001419
1000,100005471
1000,100020289
1000,100190053
1000,110001419
1000,110005471
1000,110020289
1000,110190053
1000,807192985
1000,807239085
1000,820231866
1000,820237692
1000,820239085
1000,831231866
1000,831257534
1000,832239085
1000,835135455
1000,836239085
1000,840001419
1000,844192366
1000,844239085
1000,844240638
1000,844246191
1000,844251570
1000,844257534
1000,845001419
1000,845020289
1000,845190053
1000,845204485
1000,845230621
1000,845231866
1000,846020289
1000,846192985
1000,848001419
1000,848005471
1000,848135455
1000,848143001
1000,848180930
1000,848186345
1000,848186942
1000,848192985
1000,848202652
1000,848204485
1000,848210257
1000,848210514
1000,848222492
1000,848231866
1000,848237692
1000,848239085
1000,848239818
1000,851241236
1000,851251517
1000,852000194
1000,852001419
1000,852005471
1000,852192985
1000,852230666
1000,852233049
1000,854230621
1000,854239085
1000,855241159
1000,855246191
1000,855257534
1000,856239085
1000,856243576
1000,856246191
1000,856246420
1000,856251517
1000,858169721
1000,861001419
1000,861005471
1000,861020289
1000,861135455
1000,861139720
1000,861143001
1000,861190053
1000,863192366
1000,863192985
1000,863231410
1000,863239085
1000,863243576
1000,863246191
1000,863246420
1000,863260247
1000,866228813
1000,866229237
1000,866230621
1000,866239085
1000,866241236
1000,866245037
1000,866246191
1000,866251570
1000,866267991
1000,866277427
1000,867001419
1000,867138412
1000,867234060
1000,867241236
1000,868001419
1000,868005471
1001,100005419
1001,100005467
1001,100005673
1001,100013743
1001,100045197
1001,100049369
1001,100247515
1001,100247699
1001,100247703
1001,110005419
1001,110005467
1001,110005673
1001,110013743
1001,110045197
1001,110049369
1001,110247515
1001,110247699
1001,110247703
1001,113013743
1001,820209331
1001,820256630
1001,829176580
1001,831203376
1001,831209331
1001,832256630
1001,836005419
1001,836256630
1001,839247699
1001,840013743
1001,840049369
1001,844203376
1001,844209331
1001,844231281
1001,844233731
1001,844239837
1001,844246104
1001,844256630
1001,844257289
1001,844260908
1001,845045197
1001,845049369
1001,845176580
1001,845201942
1001,845208722
1001,845212831
1001,845230658
1001,845235805
1001,845239837
1001,846013743
1001,846203376
1001,848000027
1001,848142754
1001,848176580
1001,848202652
1001,848203376
1001,848208722
1001,848209331
1001,848212831
1001,848216267
1001,848231281
1001,848253149
1001,848256630
1001,851241084
1001,852000194
1001,852013743
1001,852176580
1001,852247703
1001,852256630
1001,854203376
1001,855209331
1001,855212831
1001,855241084
1001,855246104
1001,856203376
1001,856236772
1001,856241084
1001,856256630
1001,861000027
1001,861000330
1001,861005419
1001,861005661
1001,861013743
1001,861015723
1001,861045197
1001,861049369
1001,861142754
1001,863203376
1001,863209331
1001,863239837
1001,863241084
1001,863256630
1001,866203376
1001,866220710
1001,866236772
1001,866241084
1001,867045197
1001,867138412
1001,867142754
1001,867192629
1001,868247703
1002,100000388
1002,100173731
1002,100214267
1002,110000388
1002,110173731
1002,110214267
1002,113000388
1002,113173731
1002,807200104
1002,807202126
1002,810202126
1002,818177003
1002,820200104
1002,820202126
1002,820245367
1002,825173731
1002,825177003
1002,828177003
1002,829173731
1002,831200104
1002,832202126
1002,832245367
1002,834202126
1002,835021146
1002,836173731
1002,836202126
1002,839200104
1002,840220793
1002,840237221
1002,844200104
1002,844202126
1002,844213648
1002,844245367
1002,845155897
1002,845205347
1002,845226226
1002,845232488
1002,846173731
1002,846177003
1002,846190460
1002,848000388
1002,848021146
1002,848030110
1002,848167948
1002,848173731
1002,848177003
1002,848186345
1002,848188377
1002,848200104
1002,848202126
1002,848202335
1002,848211117
1002,848212188
1002,848220440
1002,848220697
1002,848227535
1002,851225539
1002,851243576
1002,851245155
1002,851251421
1002,852214267
1002,852247394
1002,855200104
1002,855202126
1002,855213648
1002,855264453
1002,856202126
1002,856232488
1002,856240091
1002,856243576
1002,856264453
1002,861000330
1002,861000388
1002,861051257
1002,861155897
1002,861173731
1002,861214267
1002,863177003
1002,863181458
1002,863200104
1002,863202126
1002,863232488
1002,863243576
1002,863245155
1002,863259868
1002,864034666
1002,864200104
1002,866177003
1002,866200104
1002,866202126
1002,866275192
1002,867183512
1002,867191972
1002,867220697
1002,867227535
1002,867229391
1002,867232488
1002,867236480
1002,867238216
1002,867245367
1003,100001116
1003,100001201
1003,100001620
1003,100001668
1003,100003647
1003,100005471
1003,100007512
1003,100007518
1003,100009676
1003,100013128
1003,100031432
1003,100034079
1003,100045674
1003,100048940
1003,100049369
1003,100214100
1003,110001116
1003,110001201
1003,110001620
1003,110001668
1003,110003647
1003,110005471
1003,110007512
1003,110007518
1003,110009676
1003,110013128
1003,110031432
1003,110034079
1003,110045674
1003,110048940
1003,110049369
1003,110214100
1003,831209331
1003,831257534
1003,839013128
1003,844209331
1003,844257534
1003,844273018
1003,845001116
1003,845214100
1003,848005471
1003,848009676
1003,848031432
1003,848183277
1003,848189505
1003,848192505
1003,848192985
1003,848202652
1003,848209331
1003,848212188
1003,848215914
1003,852005471
1003,852009676
1003,852031432
1003,852233049
1003,852233700
1003,855209331
1003,855227796
1003,855241159
1003,855256079
1003,855257534
1003,856192119
1003,858020775
1003,858025420
1003,861001116
1003,861001620
1003,861001668
1003,861007512
1003,861007518
1003,861013128
1003,861183277
1003,863192985
1003,863209331
1003,863247090
1003,866188567
1003,866192119
1003,866201024
1003,866235454
1003,866238074
1003,866239231
1003,866242444
1003,866247090
1003,866252042
1003,867001116
1003,867001668
1003,867003622
1003,867007518
1003,867009676
1003,867020775
1003,867031432
1003,867045674
1003,867162895
1003,867193082
1003,867231352
1003,867235790
1003,868005471
1003,868009676
1003,868013128
1003,868183277
1003,868214100
1004,100000388
1004,100001419
1004,100001605
1004,100001620
1004,100001625
1004,100004000
1004,100006975
1004,100007826
1004,100034079
1004,100048940
1004,100214649
1004,100248146
1004,110000388
